platform,rank,cover_img,title,artist,playtime
멜론,1,https://cdn.chartin.me/image/album/melon/11415997.jpg?v=1708932598095&size=80,밤양갱,비비 (BIBI),2:27
멜론,2,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,Love wins all,아이유,4:32
멜론,3,https://cdn.chartin.me/image/album/melon/11391902.jpg?v=1706952264860&size=80,첫 만남은 계획대로 되지 않아,TWS (투어스),2:33
멜론,4,https://cdn.chartin.me/image/album/melon/11407156.jpg?v=1708333664729&size=80,EASY,LE SSERAFIM (르세라핌),2:45
멜론,5,https://cdn.chartin.me/image/album/melon/11372896.jpg?v=1706952255449&size=80,To. X,태연 (TAEYEON),2:51
멜론,6,https://cdn.chartin.me/image/album/melon/11376816.jpg?v=1706952256383&size=80,비의 랩소디,임재현,3:56
멜론,7,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,홀씨,아이유,3:11
멜론,8,https://cdn.chartin.me/image/album/melon/11394065.jpg?v=1706952266196&size=80,Love 119,RIIZE,2:54
멜론,9,https://cdn.chartin.me/image/album/melon/11352904.jpg?v=1706952251454&size=80,Perfect Night,LE SSERAFIM (르세라핌),2:40
멜론,10,https://cdn.chartin.me/image/album/melon/11382987.jpg?v=1706952258614&size=80,에피소드,이무진,3:26
멜론,11,https://cdn.chartin.me/image/album/melon/11305759.jpg?v=1706952246992&size=80,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),4:11
멜론,12,https://cdn.chartin.me/image/album/melon/11402655.jpg?v=1706952285766&size=80,나는 아픈 건 딱 질색이니까,(여자)아이들,2:42
멜론,13,https://cdn.chartin.me/image/album/melon/10735654.jpg?v=1706952235841&size=80,사랑은 늘 도망가,임영웅,4:03
멜론,14,https://cdn.chartin.me/image/album/melon/11362544.jpg?v=1706952253708&size=80,Drama,aespa,3:35
멜론,15,https://cdn.chartin.me/image/album/melon/11427101.jpg?v=1708938337840&size=80,WAY 4 LUV,PLAVE,3:40
멜론,16,https://cdn.chartin.me/image/album/melon/11404142.jpg?v=1708419856767&size=80,Shopper,아이유,3:36
멜론,17,https://cdn.chartin.me/image/album/melon/11227533.jpg?v=1706952243620&size=80,헤어지자 말해요,박재정,4:04
멜론,18,https://cdn.chartin.me/image/album/melon/11258233.jpg?v=1706952245062&size=80,모래 알갱이,임영웅,3:41
멜론,19,https://cdn.chartin.me/image/album/melon/10821699.jpg?v=1706952236525&size=80,인사,범진,3:36
